sample_id,scenario,category,label,video_path,sensor_path,is_accident,split
1,telematics_cruising,normal,0,data/telematics/videos/telematics_cruising_01.mp4,data/telematics/sensors/telematics_cruising_01.csv,False,train
2,telematics_cruising,normal,0,data/telematics/videos/telematics_cruising_02.mp4,data/telematics/sensors/telematics_cruising_02.csv,False,train
3,telematics_cruising,normal,0,data/telematics/videos/telematics_cruising_03.mp4,data/telematics/sensors/telematics_cruising_03.csv,False,train
4,telematics_cruising,normal,0,data/telematics/videos/telematics_cruising_04.mp4,data/telematics/sensors/telematics_cruising_04.csv,False,train
5,telematics_cruising,normal,0,data/telematics/videos/telematics_cruising_05.mp4,data/telematics/sensors/telematics_cruising_05.csv,False,train
6,telematics_cruising,normal,0,data/telematics/videos/telematics_cruising_06.mp4,data/telematics/sensors/telematics_cruising_06.csv,False,train
7,telematics_cruising,normal,0,data/telematics/videos/telematics_cruising_07.mp4,data/telematics/sensors/telematics_cruising_07.csv,False,test
8,telematics_cruising,normal,0,data/telematics/videos/telematics_cruising_08.mp4,data/telematics/sensors/telematics_cruising_08.csv,False,test
9,telematics_cruising,normal,0,data/telematics/videos/telematics_cruising_09.mp4,data/telematics/sensors/telematics_cruising_09.csv,False,val
10,telematics_cruising,normal,0,data/telematics/videos/telematics_cruising_10.mp4,data/telematics/sensors/telematics_cruising_10.csv,False,train
11,telematics_cruising,normal,0,data/telematics/videos/telematics_cruising_11.mp4,data/telematics/sensors/telematics_cruising_11.csv,False,train
12,telematics_cruising,normal,0,data/telematics/videos/telematics_cruising_12.mp4,data/telematics/sensors/telematics_cruising_12.csv,False,train
13,telematics_cruising,normal,0,data/telematics/videos/telematics_cruising_13.mp4,data/telematics/sensors/telematics_cruising_13.csv,False,train
14,telematics_cruising,normal,0,data/telematics/videos/telematics_cruising_14.mp4,data/telematics/sensors/telematics_cruising_14.csv,False,val
15,telematics_cruising,normal,0,data/telematics/videos/telematics_cruising_15.mp4,data/telematics/sensors/telematics_cruising_15.csv,False,train
16,telematics_sharp_turn,normal,0,data/telematics/videos/telematics_sharp_turn_01.mp4,data/telematics/sensors/telematics_sharp_turn_01.csv,False,train
